Date,Company,Channel,Lang,Title,URL
2026-05-07,Blue Star Ltd,ET NOW,English,Will AC Prices Cross Double-Digit Hikes? Blue Star CMD Warns of Post-War Inflation | Business News,https://www.youtube.com/watch?v=OC5W07Pb_Io
2026-05-07,Brigade Enterprises Ltd,ET NOW,English,"Brigade Enterprises Plans ₹11,500 Cr Launch Pipeline! | MD Pavitra Shankar On FY27 Outlook | ET Now",https://www.youtube.com/watch?v=MFm34CDTGIE
2026-05-07,Meesho Ltd,Zee Business,Hindi,Meesho CFO Reveals Big Plans | Acquisition Buzz and Q4 Growth Story,https://www.youtube.com/watch?v=ruIGcs4yARI
2026-05-07,Shree Cement Ltd,ET NOW,English,"Shree Cement Q4 Results: Chairperson Explains Volume Growth, Pricing Pressure & Margin Outlook",https://www.youtube.com/watch?v=D6CXZvH-UVE
2026-05-07,Coforge Ltd,CNBC Awaaz,Hindi,Coforge Q4 Results: Q4 नतीजों पर कोफोर्ज के CEO और ED Sudhir Singh से Anuj Singhal की खास चर्चा!,https://www.youtube.com/watch?v=8ZFs7mJr86Q
2026-05-06,Coal India Ltd,CNBC-TV18,English,"No Coal Shortage in India, Says Coal India Chairman Shri Sairam | N18S",https://www.youtube.com/watch?v=z3kv9pYfRJA
2026-05-06,Mahindra & Mahindra Ltd,ET NOW Swadesh,Hindi,"Mahindra & Mahindra के Q4 Results, आय और मुनाफा पर MD & CEO Rajesh Jejurikar का Outlook | ETNS",https://www.youtube.com/watch?v=oQKD6iaUrIM
2026-05-06,Marico Ltd,Zee Business,Hindi,Marico Q4 Buzz! Group CFO & CEO-IB Reveals What’s Driving Company Growth,https://www.youtube.com/watch?v=NQnSlM2UFKM
2026-05-05,Mahindra & Mahindra Ltd,ET NOW,English,Mahindra & Mahindra CEO Anish Shah on Q4 Earnings & FY27 Outlook | Business News | ET Now,https://www.youtube.com/watch?v=U1HxeU1qE-Q
2026-05-05,Jindal Stainless Ltd,ET NOW Swadesh,Hindi,"Jindal Stainless के Q4 Results, आय, मुनाफा और मार्जिन पर CEO & CFO Arun Kumar Khulbe का Outlook",https://www.youtube.com/watch?v=LobjEIFo2DI
2026-05-05,Coal India Ltd,Zee Business,Hindi,Corporate Radar: Coal India Q4 Results | CMD B. Sairam Exclusive Interview,https://www.youtube.com/watch?v=UvOLeU2Z_UA
2026-05-05,CSB Bank Ltd,CNBC Awaaz,Hindi,CSB Bank Q4 Results: Q4 नतीजों पर CSB Bank के MD & CEO Pralay Mondal से खास चर्चा!,https://www.youtube.com/watch?v=_NSw4alOYCo
2026-05-05,Tata Chemicals Ltd,CNBC Awaaz,Hindi,Tata Chemicals Q4 Results: Q4 नतीजों पर टाटा केमिकल्स के MD & CEO R. Mukundan से खास चर्चा!,https://www.youtube.com/watch?v=TfoLINgZJ_M
2026-05-05,Godrej Properties Ltd,ET NOW,English,Godrej Properties Q4 Hits RECORD Growth! CEO Gaurav Pandey Decodes FY26 Strategy | Business News,https://www.youtube.com/watch?v=RA6xtfMP2IY
2026-05-05,Tata Chemicals Ltd,ET NOW,English,Tata Chemicals Breaks Silence on US Impairment & Global Supply Shock | MD Reveals FY27 Outlook,https://www.youtube.com/watch?v=Wg_WBGAk_Qo
2026-05-04,Nestle India Ltd,ET NOW Swadesh,Hindi,Nestle India के Growth Plan और नेस्ले के Products पर Chairman & MD Manish Tiwari का Outlook | ETNS,https://www.youtube.com/watch?v=ljNgA4igyoY
2026-05-04,Granules India Ltd-$,CNBC Awaaz,Hindi,Midcap Mantra: Q4 नतीजों पर Granules India के CFO Mukesh Surana से चर्चा! | Management Insights,https://www.youtube.com/watch?v=7dc4_63JvC4
2026-05-04,Sona BLW Precision Forgings Ltd,ET NOW,English,"Sona BLW Precision Forgings CEO on Margins, EV Growth & Outlook | Business News | ET Now",https://www.youtube.com/watch?v=WD2-b-JWZAA
2026-05-03,Castrol India Ltd,Zee Business,Hindi,arnings Interview: Castrol India CFO Shares Q4 Strategy | EV & Global Market Outlook,https://www.youtube.com/watch?v=mOHKUK2HLvs
2026-04-30,Waaree Energies Ltd,ET NOW Swadesh,Hindi,"Waaree Energies के Q4 Results, EBITDA Margin, आय और मुनाफा पर CFO Abhishek Pareek का Outlook",https://www.youtube.com/watch?v=spPaAd8kAsM
2026-04-30,Vedanta Ltd,Zee Business,Hindi,"Corporate Radar: Vedanta Q4 Results | CFO & ED on Aluminium, Zinc & Capex Plans",https://www.youtube.com/watch?v=pa2jKHtql7U
2026-04-29,Bandhan Bank Ltd,ET NOW Swadesh,Hindi,"Bandhan Bank के Q4 Results, मुनाफा और मार्जिन पर MD & CEO Partha Pratim Sengupta का Outlook  | ETNS",https://www.youtube.com/watch?v=lN4CEDCsOrY
2026-04-29,Castrol India Ltd,Zee Business,Hindi,"Castrol India Results Boardroom: Q4 Highlights, EV Strategy & Data Center Focus | CFO Interview",https://www.youtube.com/watch?v=hgRjfcz3UuU
2026-04-29,Castrol India Ltd,Business Today,English,"Castrol India LIVE | CFO Mrinalini Srinivasan On Growth, Strategy, Margins & Outlook",https://www.youtube.com/watch?v=RpYq7mtioyM
2026-04-29,Bandhan Bank Ltd,Zee Business,Hindi,Bandhan Bank Q4 Results: What Drove the Strong Performance? MD Partha Sengupta Speaks,https://www.youtube.com/watch?v=Z8KwYTG5lGY
2026-04-28,Tamilnad Mercantile Bank Ltd,ET NOW Swadesh,Hindi,Tamilnad Mercantile Bank के Q4 Results और मुनाफा पर MD & CEO Sali S Nayar का Outlook | ETNS,https://www.youtube.com/watch?v=cjJqFjUHwoU
2026-04-28,Piramal Finance Ltd,ET NOW Swadesh,Hindi,"Piramal Finance के Q4 Results, Margin Guidance और मुनाफे पर MD Jairam Shridharan का Outlook | ETNS",https://www.youtube.com/watch?v=_Has8daf61U
2026-04-28,AU Small Finance Bank Ltd,Zee Business,Hindi,"AU Small Finance Bank Q4 Results | Profit Surges, Asset Quality Improves | CEO Sanjay Agarwal",https://www.youtube.com/watch?v=Y9JQryzhiDg
2026-04-25,Waaree Energies Ltd,Zee Business,Hindi,US Tariff Alert: Impact on Indian Solar Firms | Waaree Energies CMD Exclusive,https://www.youtube.com/watch?v=2shnLzbPCwc
2026-04-22,Godrej Industries Ltd,Mint,English,Exclusive: Godrej Industries' Chairman-Designate On Balancing Legacy Vs A Need For Change,https://www.youtube.com/watch?v=Js8xIsLkizE
2026-04-22,Persistent Systems Ltd,Business Today,English,Why Persistent Systems Is Beating IT Peers: Q4 Analysis With CEO Sandeep Kalra,https://www.youtube.com/watch?v=EN5qKQB2SXE
